[Light Detected: 0, Soil Humidity: 0.2, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.4, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.6, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.2, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.3, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.2, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 51]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.2, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.8, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.1, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 51]
[Light Detected: 0, Soil Humidity: 0.5, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.8, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.0, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.2, Distance: 52]
[Light Detected: 0, Soil Humidity: 0.1, Distance: 52]
